0,0
10,10
20,20
30,30
40,40
50,50
60,60
70,70
80,80
-
1,1
11,11
21,21
31,31
41,41
51,51
61,61
71,71
81,81
-
2,2
12,12
22,22
32,32
42,42
52,52
62,62
72,72
82,82
-
3,3
13,13
23,23
33,33
43,43
53,53
63,63
73,73
83,83
-
4,4
14,14
24,24
34,34
44,44
54,54
64,64
74,74
84,84
-
5,5
15,15
25,25
35,35
45,45
55,55
65,65
75,75
85,85
-
6,6
16,16
26,26
36,36
46,46
56,56
66,66
76,76
86,86
-
7,7
17,17
27,27
37,37
47,47
57,57
67,67
77,77
87,87
-
8,8
18,18
28,28
38,38
48,48
58,58
68,68
78,78
88,88
-
9,9
19,19
29,29
39,39
49,49
59,59
69,69
79,79
89,89
-
